作者,看板,標題,日期,內容
happiness08 (love 8),fruits,[發問] 請問這顆酪梨有蟲嗎？,Mon Aug  8 00:55:26 2016,"酪梨達人們～

近幾天買的酪梨變黑了（還沒到很黑）

但是 其中一顆拿起來看 外關有如圖 開始爛掉的點

http://i.imgur.com/PEVUbpn.jpg

http://i.imgur.com/G7hZeMq.jpg

請問是不是裡面有蟲了>""<

如果是 在不想浪費的情形下 現在可以怎麼辦呢？

放進冰箱可以讓蟲不要變多或動來動去嗎？（囧）



這顆酪梨買回家時就發現

搖一搖的時候 有籽肉分開的聲音 請問這跟蟲有關嗎？

"
MSBS (ㄈㄨ~~~~~),fruits,[廣宣] 中元普渡火龍果優惠唷 :],Mon Aug  8 12:51:08 2016,"【保庇價】8/8 18:00 ~ 8/18 18:00 / 慶中元 /

火龍果要開始中元普渡保庇優惠囉！
拜拜或中秋送禮有需要的朋友們，
歡迎參考看看～草生栽培／無毒／套袋

白肉火龍果 活動期間

同一地址滿三箱，一箱優惠價700元，免運～

歡迎來玩玩唷！
勝利仙蜜果園 https://www.facebook.com/shengliorchard
中元優惠活動 https://goo.gl/aXqbt4

祝大家 平安健康 順心如意

"
sauntering16 (快樂至上),fruits,[廣宣] 華盛頓櫻桃合購,Tue Jun 28 19:55:23 2016,"交易類別:合購華盛頓櫻桃（公斤計算）

面交地點:崑山科大附近

櫻桃大小：9.5row(約50-10元硬幣）

價錢：1KG 380元（保證櫻桃梗都是翠綠新鮮的）

http://i.imgur.com/oI37CK5.jpg


單純自己愛吃，想找版友一起訂購，最少以1公斤為主，會用夾鏈袋分裝好，有累積到9公
斤倍數才會多訂喔！意者請站內信，自取時間可以配合者再下訂



"
On10n (洋蔥頭),fruits,[新聞] 西瓜、桃子一起吃恐致命？中醫師這麼說,Wed Jun 29 01:42:02 2016,"http://news.ltn.com.tw/news/life/breakingnews/1744026

    〔記者陳鳳麗／南投報導〕

    最近Line熱傳「西瓜、桃子勿一起吃」訊息，因為有學生同時吃西瓜和桃子就死了，
網友半信半疑，南投縣草屯鎮中醫師洪豐田說，中醫食物、藥物相生相剋理論，完全沒有
這種說法，這是網路謠言。

    這則同時吃西瓜、桃子會喪命的訊息，在「狂人網摘」網站有追蹤出是從中國傳出，
中國紅網張家界站還報導過，並求證相關單位，證實是網路謠言，卻被網眼翻譯成繁體字
在台灣傳遞。

    南投縣草屯鎮佑民醫院營養師廖美俞表示，西瓜、桃子都是水份多的水果，桃子鉀質
高，吃多容易拉肚子，但從沒聽過兩者一起吃會死。

    中醫師洪豐田也說，中醫食、藥物相生相剋理論中，不曾有這種記載，西瓜性寒涼，
腸胃不好者，吃多了容易拉肚子，桃子性溫，兩者一涼一溫，合吃略會減少桃子溫性特質
，但是不會因此致死。

    (自由時報 105/06/28)

"
FaithPrice (信仰的價值),fruits,[新聞] 〈南部〉躲過寒害躲不過雨勢 白蓮霧減產,Thu Jun 30 01:59:02 2016,"http://news.ltn.com.tw/news/local/paper/1005705

    〔記者林孟婷／新市報導〕

    受到天候異常加上病蟲害侵襲影響，今年新市白蓮霧產量與往年相比有所減少，「但
仍可以應付市場消費訂單」。為了解決病蟲害問題，農民加強管理與栽種方法，堅持保存
白蓮霧原生種的風味，現正值白蓮霧採收季節，建議民眾把握時機品嚐白蓮霧的獨特風味
。

    栽種白蓮霧多年的新市永安宮主委鄭明堂表示，雖然今年年初霸王級寒流來襲，還好
不是白蓮霧的開花期所以躲過寒害，但卻躲不過四月份的連日雨勢，加上後來遇上天氣炎
熱以及病蟲害影響，造成白蓮霧裂果、掉果。

    鄭明堂說，近年受到病蟲害的影響，透過加強管理等方式進行控制，因為堅持保存原
生種白蓮霧，不改變育種方式，所以至今仍可以產出最具原味的白蓮霧。

    他表示，今年的產量與去年相比減少約兩、三成，但是仍足以應付市場的消費訂單，
「現在正是吃白蓮霧的時候」。

    (自由 2016-06-29)

"
"ll4319 (★""漢堡)",fruits,[廣宣] 臺中新社巨峰葡萄 自產自銷,Fri Jul  1 00:28:58 2016,"大家好~

葡萄產於臺中新社區崑山里
由家父自產自銷
直接現採就能現吃的葡萄

http://i.imgur.com/QfnnOvc.jpg
色澤黑紫

http://i.imgur.com/MmJSgrA.jpg
粒粒飽滿結實

http://i.imgur.com/b67KEyV.jpg
逐一套袋呵護的葡萄舖著健康果粉


"
Daron309 (大榮蟲),fruits,[新聞] 遊泰國吃什麼水果 華人投票首選榴槤,Fri Jul  1 00:59:45 2016,"http://www.cna.com.tw/news/ahel/201606300201-1.aspx

（中央社記者劉得倉曼谷30日專電）來到熱帶的泰國，你最想吃什麼水果，由泰國觀光總
局舉行的華人最愛的水果網路投票活動，結果是榴槤最受歡迎。

泰國觀光總局為行銷泰國旅遊，日前舉辦華人旅遊泰國的票選活動，共有323萬人投票，
結果揭曉，最受到青睞的是有果王之稱的榴槤，其他如芒果、山竹、椰子、紅毛丹、蓮霧
、龍眼、波羅蜜和鳳梨等。

榴槤近年來受到中國大陸民眾的喜愛，在泰國當地的價格已經是水漲船高，平均每公斤售
價自120至150泰銖（約新台幣117-148元），不像3年前約60-80泰銖，主要是大陸貿易商
在當地搶購。

在泰國可品嘗到的榴槤，主要是金枕頭，個頭大果核小，另一種果形呈圓形的乾腰，每公
斤價格幾乎都在350泰銖以上，有時甚至達到500泰銖，是高檔榴槤。榴槤的味道，見仁見
智，好惡分明。

要降低榴槤的怪味有一些方法，像是冰凍法或火烤法，將果肉丟入冰凍庫或者是連皮烤焦
再食用，都能減少其怪味，不然就是食用榴槤干，以冷凍乾燥法製成，香酥的榴槤干頗受
華人消費者歡迎。1050630

(中央社 2016/06/30)

"
hueicat (家輝貓),fruits,Re: [廣宣] 燕巢珍珠芭樂 小量自產自銷 好吃又健康,Sat Jul  2 20:30:14 2016,"大家好，我來幫我家的芭樂宣傳一下。
說到高雄燕巢一定會想到燕巢的芭樂
在夜市裡一定也會看到打著燕巢芭樂的看板

因為自己的爸爸每天都在高雄某菜市場賣芭樂
想要讓台灣更多其他地方的人吃到我們家的芭樂
所以開始網路販賣

絕對是現採現送，產地直銷


想要吃到道地又好吃的珍珠芭樂嗎?

可以透過此臉書粉絲頁按讚私訊訂購:
https://www.facebook.com/yenchaoguava

然後到到部落格看詳細資料
http://hueiyuyu.pixnet.net/blog/post/414236692

也可以透過站內信或信箱，將你的姓名、收件地址、聯絡電話告訴我，就可以為您服務囉

PTT ID: hueiyuyu
信箱: [email protected]


【特價】(因應市場時價，訂購前可再詢問一下價格)

[7/2價格]

>10斤(約15顆) 450元(含冷藏運費120)

>20斤(約30顆) 800元(含冷藏運費150)


謝謝大家。

"
fwzo0921 (佾雲),fruits,Re: [發問] 華盛頓櫻桃合購..剛小心誤刪.....抱歉,Mon Jul  4 19:26:26 2016,"期待櫻桃的到來哩^^

"
TrueSpace (油漆作業員),fruits,[新聞] 拉拉山水蜜桃開賣 市值2億,Tue Jul  5 02:16:00 2016,"    （中央社記者卞金峰桃園4日電）

    拉拉山水蜜桃開賣，桃園市長鄭文燦今天說，水蜜桃有1500公噸，預估市值新台幣2
億元，民眾可以到「愛桃味」網站訂購，他有信心今年水蜜桃會完銷。

    鄭文燦今天在市府出席「2016桃園水蜜桃行銷暨愛桃味開站記者會」時表示，桃園的
水蜜桃季已經開始，今年水蜜桃的產量有1500公噸，預估市值2億元，即日起至7月24日的
每週六、日，歡迎市民朋友到八德區桃園假日農業創意市集、大溪區慈湖兩蔣文化園區停
車場、桃園火車站前廣場、復興區農特產品展售會及部落市集購買，他有信心今年的水蜜
桃會順利完銷。

    鄭文燦指出，每年的水蜜桃季是桃園市的地方盛事，今年的水蜜桃季由市府、復興區
公所及農會合作行銷，再配合「愛桃味」網路商城，相信一定會順利完銷，也歡迎市民朋
友直接到產地購買，並到北橫旅遊帶觀光，進入復興區華陵里、高義里及三光里等後山地
區，欣賞泰雅之美，看見有如人間淨土的美景；也歡迎所有市民朋友在30日一起到復興區
上巴陵停車場參加「水蜜桃感恩之夜」。

    他說，復興區各項建設都依次推動，包括即將完工的「新溪口吊橋」，全長303公尺
，高低差23公尺，是全台灣最長的吊橋，比屏東三地門的琉璃吊橋還長、也更刺激；宇內
溪戲水區已經完工啟用，是安全好玩的戲水空間，羅浮溫泉區也正在建設中。1050704

    http://www.cna.com.tw/news/ahel/201607040273-1.aspx

    (中央通訊社 2016-07-04)

"
lotuslin (佑),fruits,[心得] 果夏Grow Shop 華盛頓櫻桃,Wed Jul  6 23:51:14 2016,"果夏 Grow Shop
地址：台中市南屯區向心路85號
電話：04-23830092；0800-088-997（免費專線）
營業時間：08:00-20:30

網誌圖文版：http://lotuslin.pixnet.net/blog/post/46372630


這個盛夏最美好的時光，莫過於捧著整盆的櫻桃吃到爽的這一刻，
果夏Grow Shop 美國華盛頓雙色紅白櫻桃 團購大推薦，
我真的愛死櫻桃這嬌貴的小東西了>////<.
人生第一次吃櫻桃吃到打飽嗝卻甘之如飴呀~~


總共有一盒雙色禮盒跟整箱原封的櫻桃，
大箱跟雙色禮盒的紅櫻桃都是一樣的櫻桃，
產地為美國華盛頓州，品系則是卡片上的bin，
雙色櫻桃重量一公斤售價為980，原封箱為5公斤實重售價為2900，
果粒大小是9.5r，以紐西蘭大小判定是28mm。


櫻桃的營養價值其實蠻高的，一般水果含鐵量不高，
但是櫻桃卻富含鐵質，缺鐵貧血的人就很適合吃櫻桃，
國外甚至還有「心臟的阿司匹林」之美名。



市面上櫻桃品種會進口來台灣的約有十多種，
但有硬度、甜度高、酸度低且耐存放的大概只有三四種，
整個櫻桃產期（在台灣看得到櫻桃的時間）大約是一個半月至兩個月，
但櫻桃真正要好吃卻只有短短約2至3週，完全是期間限定的概念，
這次剛好有遇到白櫻桃的產季（大約只有一週多的時間），
幸運的嚐到了這極少見且更為尊貴的白櫻桃XD.


白櫻桃因為色澤關係，容易影響賣像，相對成本又更高，
白櫻桃甜度約21度，紅櫻桃約20度，
酸度上白櫻桃較低，脆度則是白櫻桃較高，怪不得會較貴些，
建議吃的時候要先吃紅櫻桃（我都混在一起吃還是好吃得不得了阿XD），
是說雖然統稱紅櫻桃，但嚴格說起來應該是深紫紅色更為精準些，
而白櫻桃其實帶點蘋果紅，像是迷你的小蘋果~


有著寶石般漂亮的光澤，在嘴裡爆汁的櫻桃太過癮，
咬開可以看到這櫻桃好飽滿完全沒有空隙，
舌頭輕輕一繞籽肉輕鬆分離，機乎不殘留果肉在籽上。



做了一個盲猜的小實驗，白櫻桃的甜度跟口感獲得一致好評，
但我個人反而喜歡紅櫻桃的微酸，更襯櫻桃的味道，
不得不說這紅白櫻桃全都是甜的，只是紅色的是甜中帶酸，
酸度比白櫻桃多一些些，顆顆飽滿扎實，都是稍微脆脆的口感，
從來沒吃過這麼香甜的櫻桃，太讓人陶醉>////<.
想不到我居然會有吃櫻桃吃到飽的一天阿！！！



果夏告知這次到貨應該是採收後第五天，若是預購的客人拿到貨是第二天！！
我們是收到貨的隔天才打開來吃，櫻桃梗都還是鮮綠的，
因為非專業冷藏櫃，擔心櫻桃品質難以維持，
所以以光速嗑掉三分之二，剩下的就大家分一分帶走，
只不過是中間有一個多小時未冷藏的狀態，櫻桃很快口感就有明顯變化，
（學到一課，櫻桃如果失溫一段時間的話會很容易軟掉）
再隔一天吃起來口感變得較軟些，酸度也因口感變化更為明顯，
果然是極為嬌貴的櫻桃呀orz. 真的是一點溫度改變就不行，
所以一定要好好冷藏，才能品嚐到風味最佳的櫻桃。



果夏Grow Shop對於農產品有著嚴謹的把關和堅持，
與農民進口商直接進貨，嚴選當季品質最佳的水果品種出貨，
確保顧客收到的水果都是最新鮮的！！！
像我們上周收到的櫻桃是bin品系的（六月中後），
但這禮拜出貨的已改成skeena這個品系（六月底七月初），
等正在出skeena的同時又會有新的品種採收，
每一種品系的口感跟味道酸甜度都是完全不一樣的，
而品質最棒最好的，則是每年過年前的紐澳櫻桃，
所以果夏提供的是每個時節當下品質最棒的水果（不只有櫻桃），
一年就奢侈這麼一回，相當值得阿~

"
Galvus (高糖優適),fruits,[新聞] 〈中部〉防尼伯特摧殘 文旦農忙護果,Thu Jul  7 01:48:42 2016,"〔記者林國賢／斗六報導〕尼伯特颱風進逼台灣，年初遭受霸王級寒流重創的斗六文旦，
果農頂著烈日架高樹枝，用塑膠繩綁緊果實，祈求老天爺幫忙順利度過颱風侵襲。

縣府昨天邀集水利、工務等單位召開防颱會議，水利處長許宏博呼籲民眾加強清理住家周
邊水溝，尤其是水溝蓋上泥砂、枯葉一定要清除，以免強降雨釀災。

年初寒害結果少 用塑膠繩綁緊

果農朱清輝表示，今年年初寒流、大雨造成文旦結果率只有五成左右，損失慘重，由於結
果少，每顆果實營養足、重量重，所以特別怕強風大雨。

果農劉嘉城昨天頂著三十六、七度烈日，用竹竿、木棍逐一將接近地面文旦樹枝架高，再
用塑膠繩將每一顆文旦綁緊牢牢固定，他說，該做的都已經做好，再來就只能祈禱颱風不
要直接侵台。

縣府農業處長張世忠表示，除文旦、柑橘類須小心防颱外，目前正處一期水稻收割末期，
尚未收割的稻田可能要盡快收割，已經可以採收的短期葉菜也應盡速採收入庫冷藏；養殖
業者需先測試備用發電機，以免颱風期間停電，造成魚塭水質惡化，蒙受損失。

許宏博指出，縣府已要求管理各排水溪流水門單位人員測試水門及抽水站功能，並調派移
動式抽水機到易淹水區做準備。

縣消防局長戴天星呼籲民眾這兩天儘量不要到海邊、水區活動，尤其是大雨已經連續下了
好幾天，土石含水量高，前往山區活動務必提高警覺，嚴防落石坍方，尤其不要在易落石
區逗留，以免發生危險。

http://news.ltn.com.tw/news/local/paper/1007991

(自由時報 105/07/06)

"
k0079 (彎手指),fruits,[廣宣] 南投竹山紅肉火龍果,Thu Jul  7 20:46:46 2016,"南投竹山鎮自產自銷小農，
用心栽種的紅肉火龍果，
吃起來口感清脆多汁美味，
吃過包準會再回購！！
今天已經寄出60箱(很多都是回流客)，
下一波預計7/11可以採收，還沒訂購的朋友，
快快來搶購喔，現正預訂中～～

因應有些客人想買來送人~
希望整箱都可以盡量一樣大一樣漂亮的火龍果，
所以有調整一下~~~現在有兩種規格

10斤/1箱(約10-12顆，看重量)，
一箱700元，運費100元，兩箱免運費(限同一地址)

10斤/1箱(約13-14顆，看重量)，
一箱600元，運費100元，兩箱免運費(限同一地址)

臉書搜尋""葉媽媽超甜火龍果""
或加 LINE ID: elly760422

今日採收照片
http://imgur.com/a/mEtqm

"
WallBamboo (竹幕),fruits,[新聞] 〈中部〉防治果實蠅 大梨山採性荷爾蒙法,Fri Jul  8 01:19:38 2016,"〈中部〉防治果實蠅 大梨山採性荷爾蒙法

〔記者李忠憲／台中報導〕大梨山地區近幾年來果實蠅災情頻傳，農民用藥錯誤，易導致
農藥殘留，市府農業局一改過去透過農會單向防治，昨在和平區召開座談會，希望透過區
公所與農會雙管齊下，聽取果農建言，採合力防治果實蠅，藉此降低化學農藥及肥料使用
，降低大台中水源污染，並達到未來要推行的安全無毒農業區。

和平區大梨山地區是國內最重要的溫帶水果產地之一，總產值達卅億元以上。近幾年來，
原本在平地較易出現的果實蠅疫情，已逐漸往高海拔地區移動，讓大梨山地區水果受害日
趨嚴重，農民苦不堪言。

和平區代表會副主席羅進玉表示，果實蠅專門叮熟成的水果，將卵產在果實內，整顆果實
因此遭破壞、無法出售，目前包括李子、桃子都陸續傳出災情，受損面積難以估計。市府
以前只透過農會協助買農藥發給農民防治，但成效不大。官方認為，果實蠅是因載上山的
肥料有果實蠅卵，才會產生疫情，但當地農民卻都認為，果實蠅已有在山上過冬情況，官
民意見不一，需要進行座談溝通。

農業局有鑑於此，決定雙管齊下，首度要求區公所也加入防治工作，昨日更在梨山、平等
兩里舉辦座談，廣納農民防治建言。

農業局長王俊雄說，大梨山地區涵蓋大台中飲用水源，之前防治果實蠅，農民多採用化學
肥料及農藥，有污染水源之虞，農產品也容易有農藥殘留。未來將採性荷爾蒙防治法，除
去雄果實蠅，母蠅就無法交配產卵；藉此也能降低農藥殘留，保護大台中水源，並朝未來
規劃的安全無毒農業區進行。

http://news.ltn.com.tw/news/local/paper/1008404

(自由 2016-07-07)

"
bluesnow4425 (殘),fruits,[發問] 金鑽這樣能放多久？,Sat Jul  9 20:05:55 2016,"http://i.imgur.com/OWyeicO.jpg

剛剛買了一顆金鑽 老闆跟我說可以放4天左右
但我看一看 感覺已經很熟 而且也有一些香味了
請問這真的能放四天不會過熟嗎？

"
pinwheel1017 (風車1017),fruits,[新聞] 楠西芒果節推出這一味 現場大排長龍,Mon Jul 11 01:28:50 2016,"    楠西芒果節推出這一味 現場大排長龍

    〔記者吳俊鋒／台南報導〕

    台南國際芒果節楠西場活動今天上午揭幕，區公所以芒果入菜，主打銅板價的風味料
理，令人垂涎，雖然一度下著大雨，仍澆不熄遊客的熱情，人潮湧進，爭相品嚐。

    今年區公所邀請總舖師開發的芒果風味餐，包含結合了喜相逢魚、花枝丸、芙蓉蛋、
滷肉等系列料理，以及融入小黃瓜的冷盤，還有加了愛玉、山粉圓的甜品，5菜1湯，創意
又好吃，限量600份。

    系列的芒果料理，民眾只需花50元即能享用，還附贈白飯，而餐券也可以在現場逛農
夫市集時折價，物超所值，活動10點半才開始，一早就湧入排隊人潮，氣氛熱鬧。

    玉井警分局也在現場進行「青春專案」的有獎徵答，結合創意標語，宣導反毒品、反
飆車、反援交等，吸引親子參加。

    活動在小朋友的才藝表演，以及各界貴賓的上菜秀等揭開序幕，不少外地民眾到場買
芒果、吃芒果，順遊附近的玄空法寺、永興吊橋、江家古厝與龜丹溫泉等，歡度週日假期
。

    http://news.ltn.com.tw/news/life/breakingnews/1757849

    (自由時報 2016/07/10)

"
sundrops (yin~),fruits,[廣宣] 天然水果乾試吃募集_果肉舖子,Mon Jul 11 20:43:31 2016,"和家人一起經過無數次的溫度試驗
終於找到最合適的溫度與烘烤時間

目前小舖共推出3款水果乾試吃
分別是鳳梨、蘋果、香蕉
歡迎大家參考看看:)

若有小農版友可以一起配合也歡迎來信喔
謝謝:)

https://www.facebook.com/golovelive/

"
FaithPrice (信仰的價值),fruits,[新聞] 〈南部〉旗山蕉園重創 蕉價估漲2成,Tue Jul 12 01:17:47 2016,"http://news.ltn.com.tw/news/local/paper/1009721

    〔記者黃佳琳、蔡清華／高雄報導〕

    尼伯特颱風肆虐高雄，除市區傳出淹水災情外，旗山等地也傳出香蕉、番石榴等農產
倒伏，高市副市長許立明會同相關單位前往會勘，希望能向中央爭取辦理現金救助，減少
農友損失。

    林姓蕉農表示，颱風來襲前，蕉農們已預期強風會造成香蕉樹倒伏，事先已採收，已
跌到今年低點的價格，初期可能漲個兩成。

    農業局長蔡復進則評估，這次颱風高雄、屏東蕉園受創嚴重，兩地種植面積超過四千
公頃，佔全台至少三分之一的產量，這次風災折損不少成株，香蕉價格年底以前都會受到
影響。

    香蕉受災535公頃

    農業局指出，受尼伯特颱風影響，高雄農作陸續傳出倒伏、折枝，經統計，全市香蕉
被害面積五百卅五公頃、番石榴一百一十公頃、木瓜一百公頃，其餘蔬果類和農業設施也
有受災、破損，合計損失金額達四千八百餘萬元，其中旗山災損估達二千三百餘萬元。

    許立明昨和立委邱議瑩、市議員林富寶等人前往旗山視察災損情況，許立明說，此次
農損以香蕉、木瓜、番石榴、硬質玉米較為嚴重，他提醒農民儘速拍照存證，區公所會勘
調查從速認定，加快完成行政程序，以最快速度協助申請中央相關災害補助和貸款，未達
面積規定的農作，也將大力爭取救濟，農家大半年心血毀於一旦，對於生計影響甚大，希
望中央地方合作加速農民復耕復建。

    農業局指出，香蕉、木瓜和玉米此次受損面積達廿％，符合農業天然災害現金救助相
關規定，將儘速協助申請現金救助，同時爭取低利貸款，香蕉和木瓜現金救助額度為每公
頃七．五萬元、硬質玉米每公頃一．六萬元；其餘未達廿％的農作，將以個別戶方式協助
申請相關補助，讓農民損失降至最低。

    (自由 2016-07-11)

"
abcd19951224 (MARK0722),fruits,[廣宣] 苗栗公館紅棗乾。自產自銷,Tue Jul 12 15:50:31 2016,"幫忙爺爺奶奶銷售，讓他們可以多休息不用去市場賣。
乾紅棗
一台斤$500
半台斤$270
運費$80(依訂購包數會小幅調整)
ㄧ台斤7包以上免運
半台斤10包以上免運
如有需要歡迎站內信或電話0988629838，謝謝。
購買網址
http://goods.ruten.com.tw/item/show?21529158238499
http://i.imgur.com/eo55y7P.jpg

"
wallacetop (                       ),fruits,[發問] 是否有果農平台,Thu Jul 14 02:49:34 2016,"
請問要如何知道或認識果農
是否有果農平台之類的地方
今年初回家接手家裡行口批發
才發現行口沒這麼好做
原本是父親在做的
由於他去年底生病
且希望我能回家接手
為了就近照顧就辭去原先工作
父親本身的貨主(果農)居多退休
我必須自己再去開發新貨主

可能突如其來一個陌生人(我)問
:(果農)是否願意給我水果寄賣

這樣會讓人以為是詐騙集團吧
往往不得其門而入
我是真的很想好好做生意
也希望家裡是果農的網友
不嫌棄的話可以給一個機會嗎
家裡在中壢做行口四十餘年了
不是才剛成立的行口  請放心

如有意願交行口或本來就有再交行口也願意分給我寄賣試試

是否可私信告知

行口的價格取決于市場
品質好零售販回籠率高
價格自然容易調起來

當然了 如覺得我的寄賣價太差
你們就不會再供貨給我 不是嗎

有違反版規 再請告知 謝謝

"
WallBamboo (竹幕),fruits,[新聞] 三灣梨產量驟減 出現搶購潮,Thu Jul 14 12:56:39 2016,"〔記者許展溢／苗栗報導〕苗栗縣三灣鄉高接梨年初受寒害等氣候影響，結果率差，導致
產量驟減，三灣鄉農會指出，加上梨子成熟度延後，收成時期產量零星，往年皆會舉辦的
豐水梨評鑑，因此停辦，但梨子因養分充足反而更加甜美，造成搶購潮。

近來陸續有民眾反映訂不到高接梨，三灣鄉農會指出，由於今年氣候異常，收成慢、數量
少，有農友也向農會表示，栽種20幾年都沒遇過此情形，部分果子到現在還掛在樹上未成
熟，現在仍有許多訂戶等著購買，雖然如此，完全不影響品質、銷量。

另外，每年7至8月為三灣梨產季，7月16日開始三灣鄉公所將在三灣國中舉辦三灣梨季系
列活動、推廣展售，並邀請表演團體與民眾一起共襄盛舉。

http://news.ltn.com.tw/news/life/breakingnews/1762503

(自由 2016-07-14)

"
sofia1447 (kasumi),fruits,[廣宣] 南化自家愛文芒果,Thu Jul 14 22:21:13 2016,"皆為家中果園自產自銷，幫爸爸賣～
台南南化地區白堊土丘陵特殊地質蘊育之香甜美味芒果
因為今年產量較低，只有往年之1-2成左右，加之颱風影響，所以今年的芒果價格較高^^

●產地：台南市南化區

●價格：
每箱皆為十台斤～
價格已含運費，為黑貓宅配到家～
大顆裝【11-15顆】 外銷日韓等級，每箱$1200
中型裝【16顆-20顆】每箱$1000
(下面有圖片～)

●配送方式->黑貓宅配到家～(以上價格是已經包含運費的價格了！)

●付款方式->

直接私訊粉專訂購 https://www.facebook.com/leegiamango/

蝦皮交易http://shopee.tw/jinshalee/42236080




"
wentzuhung (Hsiean.),fruits,[情報] 卓越農場 紅龍果 105首次大批採收!!!,Tue Jun 14 23:49:42 2016,"※※6/25梯次400箱已結單(6/19)※※
※※可預約7/7梯次※※

※※※因果實成長大小比預期大※※※
※※新增10顆裝 一箱10斤 700元※※
※※新增9顆裝 一箱10台斤 800元※※
※※取消14顆裝規格※※




卓越農場 網室草生栽種的紅龍果開始採收啦！

最近採收日為 6/25前後
等了半年終於又有得吃啦
數量有限要搶要快喔

果實香甜 口感扎實
沒有大家不愛的""青""味

*網室栽種*
*草生栽培*
*不使用除草劑 人工除草*


本次裝箱方式為


大盒裝 (10台斤)
11顆 售價650
12顆 售價600
13顆 售價550
14顆 售價500


因為現在天氣比較炎熱
果實成熟的比較快
因此沒有去年年底king size6顆裝的
敬請見諒

不過各位不用擔心
果實的甜度依舊很棒哦
甜中帶點果酸
真的很好吃

以下為運費說明 - 限單一地址喔!
1箱 100
2箱 180
3箱 250
4箱 310
5箱 370
6箱 420
7箱 470
8箱 520
9箱 560
10箱 600
11以上免運費喔

全面接採""""當天採收當天宅配.無冷藏庫存品喔""
因此在接收到訂購單後
我們會跟您聯繫能出貨的時間及匯款帳號

請買家在匯款後告知匯款帳號後五碼.以方便核對
感謝您的訂購

若有問題歡迎提問喔! 謝謝
PTT ID::wentzuhung
LINE ID:: hsiangchuhung
訂購連結::
蝦皮-http://shopee.tw/hsiangchu/33443588
google填單-http://goo.gl/forms/Wixo7d86ez

http://i.imgur.com/yf5YddP.jpg
http://i.imgur.com/60DCRIh.jpg

"
wandeson (電音控),fruits,[廣宣] 水果香港宅配專線,Thu Jun 16 17:02:09 2016,"大家好，我是遠達國際物流 一尾

敝司專門處理鮮貨（蘭花 水果）

操作鮮貨的部分十分有經驗！

如廠商有需要宅配香港服務，能找我洽詢

Door to door一條龍服務 時效2天內

Line:wade_kuo
電話：0910896996

澳門的部分也能操作，建議200kg起跳才划算。

"
TrueSpace (油漆作業員),fruits,[新聞] 〈北部〉產季遇雨又烈日 新豐西瓜農忙搶,Fri Jun 17 02:43:00 2016,"    〈北部〉產季遇雨又烈日 新豐西瓜農忙搶救

    〔記者廖雪茹／竹縣報導〕

    新竹縣新豐鄉西瓜節，預定廿五日在公所前廣場登場，下週進入盛產期，不料前天卻
遇上暴雨，眼看著西瓜「滅頂」，昨天又露出大太陽，瓜農憂心忡忡，雨停後趕忙巡視瓜
田。

    新豐鄉公所表示，雨後數日，才能看出西瓜實際損害程度，屆時將協助調查及申報現
金救助。

    新豐鄉公所表示，前天下豪大雨，加上農田水利會的埤塘放水，讓下游瓜田浸水情況
雪上加霜；農業課人員昨天一早到各地巡查，許多瓜田一度遭洪水淹沒，昨天突然轉成豔
陽高照，讓瓜農更加擔心，正積極投入病蟲害防治。

    農業課表示，新豐以大紅西瓜為大宗，少部分香瓜和哈蜜瓜，總面積約廿七公頃；西
瓜一般可分四期採收，今年預定六月下旬進入首期採收，但暴雨當天除了少數西瓜可搶收
，多數瓜農只能事後搶救。

    此外，湖口鄉東成街等地下道，接連兩次豪大雨都積水，威脅人車安全；湖口鄉公所
表示，昨天初步檢討，地下道的抽水機運作正常，但仍不及抽水；考量除了短時間降雨太
大，也可能與周邊的排水系統或水利會的灌溉系統有關，將與相關單位研議如何改善。

    http://news.ltn.com.tw/news/local/paper/1000979

    (自由時報 2016-06-16)

"
WallBamboo (竹幕),fruits,[新聞] 芒果季到來 今年產量少一半,Sat Jun 18 00:25:01 2016,"〔記者吳欣恬／台北報導〕雖然受到氣候異常的影響，今年芒果產量只有去年的一半，產
季也晚了半個月，但隨著夏季來臨，農委會今天舉辦記者會，宣布今年芒果季正式到來。

農委會農糧署指出，今年國內芒果產量預計7萬865公噸，只有去年14萬1731的一半。批發
價也由每公斤42元漲為96元。往年5月底芒果產季到來，今年則延至6月，預計7月才會盛
產。

芒果是台南市代表性水果，種植面積為6,637公頃，約佔全國52%。台南市今年啟動芒果農
業旅遊，結合台南國際芒果節及芒果農業旅遊觀光，將遊客帶入芒果產區，與產區內的芒
果農業旅遊產業點共同行銷。

從6月25日至7月17日連續4週，分別於走馬瀨農場、玉井、南化、大內、楠西、左鎮舉辦
別具特色的芒果主題活動。6月25日「走馬瀨農場-臺南Mango強棒出擊！」；7月2、3日由
玉井區公所舉辦「玉井-菁冰齊玉季」；7月9日由南化區公所及大內區公所分別舉行「南
化-芒果農村體驗一日遊」和「大內-Fire！芒果上太空；7月10日「楠西逗熱鬧-風味水果
料理」；7月16、17日「左鎮-芒果烘焙嘉年華」。

http://news.ltn.com.tw/news/life/breakingnews/1733347

"
